"Internal ID(Do Not Change)","Product Title","Edit Unlimited Inventory(yes/no)","Assigned option values","Option ID(Do Not Change)",sku,upc,"Manufacturer Product Id",Department,Price,"Edit Inventory","Edit Cost","Inventory Note"
"=""51642665"""," 45mm Replacement Blade for Olfa Cutter - RB45-1",no,,74589539,"=""RB45-1""","=""091511500424""","=""9452""",Notions,8.99,0,4.77
"=""49813829"""," MDG Homespun - Red/Black Plaid ",no,,71811012,"=""""","=""71811012""","=""""",Fabric,7.99,6,2.45
"=""49387187"""," New Circa Essentials - Crown Flower - 0135",no,,71283897,"=""""","=""810018583460""","=""0699-0135""",CLEARANCE!!,9.49,4.75,2.98
"=""49338541"""," New Home 6019 Zipper ""E"" Foot",no,,71215839,"=""""","=""""","=""829801002""","Sewing Machines & Accessories",11.00,0,5.50
"=""55104794""","#75/11 Sharp Point Machine Embroidery Needle 20/pk - HAX1 LE ",no,,79786771,"=""""","=""810065027122""","=""HAX1 LE """,Notions,8.59,5,4.00
"=""49422746""","1/4"" Foot - Generic",no,,71331316,"=""283762""","=""""","=""""","Sewing Machines & Accessories",7.50,0,5.00
"=""49338513""","1/4"" Sewing Machine Foot - quilting 8000 9000",no,,71215806,"=""""","=""""","=""200008107""","Sewing Machines & Accessories",9.90,0,4.95
"=""48208143""","1/4in Black Braided Elastic 3yd 4/box",no,,69902538,"=""""","=""072879993301""","=""DE9330B""",Notions,1.89,0,0.95
"=""44929099""","1/8 inch Small Gingham Aqua",no,,65937050,"=""""","=""847736033991""","=""C440R-20AQUA""",Fabric,10.99,15.375,5.00
"=""55438436""","1/8 inch Small Gingham Yellow",no,,80403731,"=""""","=""847736034035""","=""C440R-50YELL""",Fabric,10.99,5,5.00
"=""50874865""","10 pc Sewing Starter Kit",no,,73410273,"=""828376""","=""""","=""""",Notions,40.00,1,32.85
"=""52447369""","10"" Batting - Bowl Cozy",no,,75796219,"=""227055""","=""""","=""""","Batting & Interfacing",0.35,24,0.17
"=""42806767""","10"" Single Point Silvalume Knitting Needles Sz 2",no,,62637340,"=""""","=""077216001220""","=""11110-2""",Yarn,2.00,4,0.50
"=""42806764""","10"" Single Point Silvalume Knitting Needles Sz 4",no,,62637337,"=""""","=""077216001244""","=""11110-4""",Yarn,2.75,2,0.87
"=""42806768""","10"" Single Point Silvalume Knitting Needles Sz 7",no,,62637341,"=""""","=""077216001275""","=""11110-7""",Yarn,3.00,5,0.75
"=""42806766""","10"" Single Point Silvalume Knitting Needles Sz 9",no,,62637339,"=""""","=""077216001299""","=""11110-9""",Yarn,3.00,2,0.75
"=""43653116""","10"" Square",no,,64365866,"=""997218""","=""""","=""""",Fabric,0.95,22,0.25
"=""42325789""","108 Inch Quilt Backing",no,,61973852,"=""CD-49594-210""","=""""","=""CD-49594-210""",Fabric,10.99,0,4.78
"=""43594975""","108"" Pink Tonal Vineyard Backing",no,,64300440,"=""47603-101""","=""""","=""47603-101""",Fabric,10.99,1.25,4.95
"=""49651518""","108"" Quilt Backing - Majestic Florals",no,,71612445,"=""""","=""""","=""BD-48382-205""",Fabric,10.99,6,3.28
"=""49651632""","108"" Quilt Backing - Majestic Florals",no,,71612583,"=""""","=""""","=""BD-48382-300""",Fabric,10.99,10.167,3.28
"=""50934262""","108"" Tilt-a-Whirl - Black",no,,73504987,"=""""","=""73504987""","=""""",Fabric,10.99,0,4.50
"=""50934555""","108"" Tilt-a-Whirl - Natural",no,,73505369,"=""""","=""73505369""","=""""",Fabric,10.99,0,4.50
"=""42264050""","12"" Wood Embroidery Hoop",no,,61876659,"=""""","=""082676374050""","=""E12""",Yarn,2.89,2,1.47
"=""41542940""","120"" Tape Measure",no,,60798227,"=""""","=""033262102502""","=""W-250""",Notions,4.39,4,2.20
"=""41983940""","12in x 18in Cutting Mat Pink",no,,61439697,"=""""","=""091511220407""","=""RM-PIK""",Notions,19.76,0,9.88
"=""42215958""","13 Going on 30 - White",no,,61819264,"=""269094""","=""""","=""""",Fabric,8.99,11.38,3.92
"=""51447887""","16oz Best Press Spray Lavender",no,,74282241,"=""""","=""035234600313""","=""6950A""","Gifts and Home",8.95,1,4.96
"=""51447714""","16oz Best Press Spray Linen Fresh",no,,74282029,"=""""","=""035234600634""","=""6983A""","Gifts and Home",8.95,3,4.96
"=""50377150""","18in x 24in Fashion Rotary Cutting Mat 2 sided",no,,72764612,"=""""","=""078484039779""","=""119810-1001""",Notions,29.49,0,14.75
"=""52905359""","2-1/2in Strips Essential Gems Royal Nights 40pcs",no,,76540665,"=""""","=""745181375294""","=""Q842-28-842""",Fabric,39.99,0,20.00
"=""56018748""","2-1/2in Strips Flowerhouse Basics Lilac Colorstory",no,,81550343,"=""RU-973-40""","=""784626036635""","=""RU-973-40""",,39.99,3,20.80
"=""56018672""","2-1/2in Strips Flowerhouse Basics Sweet Colorstory",no,,81550234,"=""RU-971-40""","=""784626036475""","=""RU-971-40""",,39.99,4,20.80
"=""56611064""","2-1/2in Strips Kona Cotton Aurora Palette 40pcs/bundle",no,,82625760,"=""""","=""784626931916""","=""RU-783-40""",Fabric,36.99,2,18.15
"=""53408671""","2-1/2in Strips Kona Cotton Midnight Oasis 40pcs",no,,77285994,"=""""","=""784626736702""","=""RU-442-40""",Fabric,36.99,0,18.15
"=""53408639""","2-1/2in Strips Kona Cotton Overcast 40pcs",no,,77285950,"=""""","=""784626736009""","=""RU-425-40""",Fabric,36.99,0,18.15
"=""56610990""","2-1/2in Strips Kona Cotton Stormy Skies Palette 40pcs/bundle",no,,82625670,"=""""","=""784626931824""","=""RU-774-40""",Fabric,36.99,2,18.15
"=""54690469""","2-1/2in Strips Kona Cotton Wildberry Palette 40pcs/bundle",no,,79234233,"=""""","=""784626931862""","=""RU-778-40""",Fabric,35.99,4,18.15
"=""54216957""","2-1/2in Strips Musical Gift 40pcs",no,,78543380,"=""""","=""745181447045""","=""Q840-642-840""",Fabric,39.99,1,20.00
"=""56241381""","2-1/2in Strips Prisma Dyes Open Waters",no,,82000984,"=""RU-370-40""","=""784626713253""","=""RU-370-40""",Fabric,39.99,5,18.15
"=""53410187""","2-1/2in Strips Prose 40pcs/bundle",no,,77290480,"=""""","=""714329713885""","=""ST-MASPRO""",Fabric,43.99,1,22.00
"=""54002806""","2-1/2in Strips Reindeer Lodge 40pcs/bundle",no,,78215105,"=""""","=""678361982992""","=""21191707STR""",Fabric,45.99,0,22.85
"=""56241258""","2-1/2in Strips Roll Up Kona Cotton Sky",no,,82000816,"=""RU-440-40""","=""784626736689""","=""RU-440-40""",Fabric,36.99,3,18.15
